direction,year,month,day,class,class_count
QB,24,6,12,11,37
QB,24,6,10,11,24
QB,24,1,29,1,42
QB,25,3,1,2,15875
QB,24,7,25,8,284
QB,24,6,5,8,266
QB,24,1,21,9,455
QB,24,8,20,8,325
QB,24,6,5,9,1598
QB,24,1,16,12,33
QB,24,3,4,8,180
QB,24,3,1,12,53
QB,24,3,1,7,64
QB,24,2,23,1,51
QB,24,3,20,10,24
QB,25,3,23,2,16489
QB,24,4,8,14,26
QB,24,7,25,2,30044
QB,24,8,16,5,3546
QB,24,1,14,4,141
QB,24,3,28,3,5610
QB,24,7,15,1,122
QB,24,5,6,4,269
QB,24,7,6,4,174
QB,24,7,11,9,360
QB,24,6,13,4,253
QB,24,8,26,1,109
QB,24,8,6,4,264
QB,24,6,14,1,101
QB,24,6,27,7,43
QB,24,1,26,14,28
QB,24,2,24,14,14
QB,24,8,20,2,32896
QB,24,7,31,4,401
QB,24,8,22,5,4030
QB,24,5,30,3,5756
QB,24,7,8,5,3569
QB,24,7,17,5,3815
QB,24,2,13,2,28596
QB,24,1,5,5,2704
QB,24,5,16,9,1470
QB,24,3,6,3,6057
QB,24,2,16,9,1732
QB,24,6,16,5,1055
QB,24,3,4,6,612
QB,24,8,25,4,210
QB,24,8,22,11,46
QB,24,2,23,14,75
QB,24,8,15,1,132
QB,24,8,10,11,17
QB,24,5,26,8,64
QB,24,7,22,12,42
QB,24,3,11,14,19
QB,24,6,16,8,66
QB,24,7,25,12,73
QB,24,5,8,12,18
QB,24,8,23,2,32853
QB,24,7,6,3,4084
QB,24,7,17,3,6254
QB,24,8,24,6,269
QB,24,7,9,5,3297
QB,24,6,13,9,1491
QB,24,4,29,9,1372
QB,24,8,17,4,200
QB,24,7,2,1,134
QB,24,4,11,8,243
QB,24,5,27,5,1537
QB,24,8,31,1,99
QB,24,7,31,1,107
QB,24,5,24,11,40
QB,24,2,22,1,39
QB,24,2,15,11,40
QB,24,7,5,4,214
QB,24,6,24,7,38
QB,24,2,21,10,19
QB,25,1,26,2,15236
QB,24,6,21,10,25
QB,24,1,24,6,681
QB,24,5,9,3,3148
QB,24,8,27,9,1802
QB,24,2,8,1,65
QB,24,7,9,7,46
QB,24,8,19,4,265
QB,24,1,25,4,185
QB,24,5,28,11,25
QB,24,8,11,4,181
QB,24,3,10,6,74
QB,24,1,19,10,41
QB,24,7,15,4,273
QB,24,2,11,1,43
QB,24,3,13,14,82
QB,24,4,8,10,19
QB,24,5,5,11,9
QB,24,1,4,14,29
QB,24,7,23,2,31624
QB,24,7,29,3,5111
QB,24,8,3,5,1897
QB,24,2,6,1,54
QB,24,3,30,4,166
QB,24,1,4,8,301
QB,24,6,18,8,251
QB,24,2,9,11,27
QB,24,3,23,7,23
QB,24,2,18,7,16
QB,24,7,6,14,12
QB,24,5,8,10,3
QB,24,4,24,3,5704
QB,24,6,25,5,3609
QB,24,5,29,3,5751
QB,24,5,29,5,3503
QB,24,1,24,7,65
QB,24,3,10,3,3281
QB,24,6,28,7,36
QB,24,3,24,12,14
QB,24,5,28,10,18
QB,24,1,10,9,1350
QB,24,8,1,9,1704
QB,24,3,16,3,3886
QB,24,8,16,11,44
QB,24,7,31,12,53
QB,24,1,11,4,266
QB,24,3,24,8,108
QB,24,4,4,4,222
QB,24,7,13,7,24
QB,24,4,2,7,35
QB,24,3,20,11,34
QB,24,6,18,1,119
QB,24,5,1,14,92
QB,24,7,11,7,8
QB,24,4,30,12,33
QB,24,8,11,11,14
QB,24,5,10,5,3065
QB,24,3,20,7,38
QB,24,2,8,3,6626
QB,24,4,9,5,3372
QB,24,4,4,5,3262
QB,24,1,27,9,627
QB,24,3,24,4,187
QB,24,1,24,9,1435
QB,24,8,14,6,629
QB,24,8,14,4,249
QB,24,1,29,8,213
QB,24,1,15,7,42
QB,24,1,2,14,46
QB,24,6,1,12,10
QB,24,1,5,14,20
QB,24,3,10,7,16
QB,24,1,21,2,37019
QB,24,5,2,2,30692
QB,24,7,15,8,206
QB,24,2,12,2,35504
QB,24,6,21,9,1598
QB,24,3,19,3,5502
QB,24,5,8,3,2953
QB,24,3,3,6,79
QB,24,1,26,6,619
QB,24,7,21,1,109
QB,24,1,18,8,279
QB,24,6,6,8,233
QB,25,3,29,3,1707
QB,24,7,17,12,48
QB,24,7,17,1,74
QB,25,3,14,2,12845
QB,24,4,24,10,19
QB,24,2,19,10,18
QB,24,6,24,11,32
QB,24,3,20,12,40
QB,25,3,4,2,12098
QB,24,8,20,11,56
QB,24,5,21,9,1491
QB,24,1,5,8,225
QB,24,6,14,14,40
QB,24,1,15,5,2803
QB,24,5,25,5,1762
QB,24,2,24,9,600
QB,24,7,8,8,190
QB,24,8,31,6,237
QB,24,5,7,9,1473
QB,24,5,14,1,101
QB,24,6,23,8,71
QB,24,4,6,6,218
QB,24,7,26,8,267
QB,24,6,16,12,21
QB,25,1,29,3,1784
QB,24,4,3,14,26
QB,24,1,11,2,31995
QB,24,6,19,2,34808
QB,24,6,27,2,31733
QB,24,4,25,9,1413
QB,24,1,3,5,3274
QB,24,5,23,8,283
QB,24,5,22,12,50
QB,24,5,10,7,40
QB,24,8,23,12,59
QB,24,5,31,3,5735
QB,24,7,18,1,144
QB,24,6,11,4,241
QB,24,3,2,1,15
QB,24,8,8,14,140
QB,24,2,27,11,48
QB,24,3,31,1,66
QB,24,6,24,10,20
QB,24,3,30,14,40
QB,24,8,12,12,38
QB,24,4,1,1,54
QB,24,8,28,12,71
QB,24,6,12,12,51
