direction,year,month,day,class,class_count
SIB,20,7,10,11,47
SIB,20,12,6,8,227
SIB,20,5,15,8,486
SIB,20,11,30,8,190
SIB,20,7,10,8,387
SIB,20,11,7,6,355
SIB,20,9,5,1,114
SIB,20,10,2,7,147
SIB,20,11,14,2,54256
SIB,20,2,25,3,8672
SIB,20,1,10,9,1364
SIB,20,4,24,3,4981
SIB,20,6,29,6,1072
SIB,20,8,25,7,246
SIB,20,12,22,5,547
SIB,20,1,7,1,455
SIB,20,9,19,9,537
SIB,20,12,8,1,908
SIB,20,3,31,1,52
SIB,20,12,10,1,637
SIB,20,5,1,8,480
SIB,20,4,18,8,220
SIB,20,4,15,10,62
SIB,20,9,29,9,522
SIB,20,12,6,1,107
SIB,20,5,29,12,7
SIB,20,8,3,2,44915
SIB,20,9,9,2,44714
SIB,20,6,4,1,911
SIB,20,5,16,3,3478
SIB,20,2,7,6,1035
SIB,20,5,4,5,1495
SIB,20,7,29,6,1105
SIB,20,7,7,5,1765
SIB,20,11,8,4,169
SIB,20,10,8,8,576
SIB,20,4,22,9,488
SIB,20,9,20,4,119
SIB,20,1,1,2,54409
SIB,20,5,1,2,36845
SIB,20,4,3,3,4192
SIB,20,1,22,3,8203
SIB,20,2,16,5,467
SIB,20,1,20,3,6645
SIB,20,5,2,9,467
SIB,20,2,28,9,1232
SIB,20,5,31,3,3301
SIB,20,5,25,3,3742
SIB,20,12,4,1,959
SIB,20,8,16,5,564
SIB,20,8,25,5,1851
SIB,20,4,9,5,1095
SIB,20,8,22,11,48
SIB,20,6,13,11,48
SIB,20,8,9,10,23
SIB,20,5,28,2,41119
SIB,20,3,13,2,47487
SIB,20,1,22,8,592
SIB,20,1,22,9,1300
SIB,20,7,8,6,930
SIB,20,8,5,8,335
SIB,20,2,13,5,1822
SIB,20,10,3,4,196
SIB,20,12,29,1,141
SIB,20,3,13,7,250
SIB,20,5,24,3,2297
SIB,20,10,29,1,337
SIB,20,2,17,8,366
SIB,20,11,29,1,121
SIB,20,8,29,5,321
SIB,20,10,28,4,98
SIB,20,7,13,11,39
SIB,20,7,5,2,50507
SIB,20,5,11,2,35858
SIB,20,6,12,2,41033
SIB,20,11,22,5,547
SIB,20,11,25,8,536
SIB,20,5,24,10,75
SIB,20,12,10,5,1763
SIB,20,4,21,3,5204
SIB,20,6,30,6,1047
SIB,20,6,21,4,76
SIB,20,3,4,7,278
SIB,20,3,1,6,132
SIB,20,9,19,7,58
SIB,20,8,20,8,549
SIB,20,4,4,6,184
SIB,20,10,17,7,74
SIB,20,2,15,4,359
SIB,20,6,18,1,1046
SIB,20,4,23,11,64
SIB,20,9,27,5,435
SIB,20,8,2,4,102
SIB,20,4,4,11,31
SIB,20,5,24,2,37913
SIB,20,10,28,3,4912
SIB,20,1,30,3,8814
SIB,20,12,9,8,363
SIB,20,12,10,12,11
SIB,20,5,5,10,271
SIB,20,12,11,4,279
