direction,year,month,day,class,class_count,year_month_day,pre_post_bool,month_day
QB,21,5,7,12,5,210507,0,507
QB,21,5,7,6,889,210507,0,507
QB,21,5,7,1,99,210507,0,507
QB,21,5,7,5,2098,210507,0,507
QB,21,5,7,10,97,210507,0,507
QB,21,5,7,8,512,210507,0,507
QB,21,5,7,7,85,210507,0,507
QB,21,5,7,4,239,210507,0,507
QB,21,5,7,3,7569,210507,0,507
QB,21,5,7,9,1666,210507,0,507
QB,21,5,7,13,11,210507,0,507
QB,21,5,8,5,1102,210508,0,508
QB,21,5,8,9,831,210508,0,508
QB,21,5,8,10,78,210508,0,508
QB,21,5,8,12,2,210508,0,508
QB,21,5,8,13,1,210508,0,508
QB,21,5,8,4,125,210508,0,508
QB,21,5,8,11,32,210508,0,508
QB,21,5,8,6,297,210508,0,508
QB,21,5,8,8,323,210508,0,508
QB,21,5,8,7,6,210508,0,508
QB,21,5,8,3,4701,210508,0,508
QB,21,5,8,1,55,210508,0,508
QB,21,5,8,2,48233,210508,0,508
QB,21,5,9,4,137,210509,0,509
QB,21,5,9,6,99,210509,0,509
QB,21,5,9,10,2,210509,0,509
QB,21,5,9,1,37,210509,0,509
QB,21,5,9,7,2,210509,0,509
QB,21,5,9,8,171,210509,0,509
QB,21,5,9,3,3499,210509,0,509
QB,21,5,9,2,49638,210509,0,509
QB,21,5,9,5,590,210509,0,509
QB,21,5,9,11,11,210509,0,509
QB,21,5,9,9,390,210509,0,509
QB,21,5,10,13,3,210510,0,510
QB,21,5,10,5,2135,210510,0,510
QB,21,5,10,7,89,210510,0,510
QB,21,5,10,8,403,210510,0,510
QB,21,5,10,12,1,210510,0,510
QB,21,5,10,2,44837,210510,0,510
QB,21,5,10,9,1644,210510,0,510
QB,21,5,10,10,113,210510,0,510
QB,21,5,10,4,187,210510,0,510
QB,21,5,10,11,37,210510,0,510
QB,21,5,10,1,67,210510,0,510
QB,21,5,10,6,816,210510,0,510
QB,21,5,10,3,7719,210510,0,510
QB,21,5,11,3,7682,210511,0,511
QB,21,5,11,5,2145,210511,0,511
QB,21,5,11,13,11,210511,0,511
QB,21,5,11,6,900,210511,0,511
QB,21,5,11,10,107,210511,0,511
