direction,year,month,day,class,class_count,year_month_date_type_int,year_month_date,week_day
QB,19,10,29,10,147,191029,2019-10-29,441
QB,19,10,29,2,43209,191029,2019-10-29,441
QB,19,10,29,3,8216,191029,2019-10-29,441
QB,19,10,29,13,13,191029,2019-10-29,441
QB,19,10,29,1,93,191029,2019-10-29,441
QB,19,10,29,7,135,191029,2019-10-29,441
QB,19,10,29,6,967,191029,2019-10-29,441
QB,19,10,29,9,1984,191029,2019-10-29,441
QB,19,10,29,11,64,191029,2019-10-29,441
QB,19,10,30,1,94,191030,2019-10-30,442
QB,19,10,30,3,8286,191030,2019-10-30,442
QB,19,10,30,12,2,191030,2019-10-30,442
QB,19,10,30,6,1001,191030,2019-10-30,442
QB,19,10,30,9,2036,191030,2019-10-30,442
QB,19,10,30,13,10,191030,2019-10-30,442
QB,19,10,30,7,137,191030,2019-10-30,442
QB,19,10,30,8,517,191030,2019-10-30,442
QB,19,10,30,5,2166,191030,2019-10-30,442
QB,19,10,30,10,164,191030,2019-10-30,442
QB,19,10,30,11,59,191030,2019-10-30,442
QB,19,10,30,4,449,191030,2019-10-30,442
QB,19,10,30,2,44231,191030,2019-10-30,442
QB,19,10,31,6,925,191031,2019-10-31,443
QB,19,10,31,7,89,191031,2019-10-31,443
QB,19,10,31,8,497,191031,2019-10-31,443
QB,19,10,31,2,45623,191031,2019-10-31,443
QB,19,10,31,13,15,191031,2019-10-31,443
QB,19,10,31,3,7808,191031,2019-10-31,443
QB,19,10,31,5,2259,191031,2019-10-31,443
QB,19,10,31,10,91,191031,2019-10-31,443
QB,19,10,31,9,2022,191031,2019-10-31,443
QB,19,10,31,11,67,191031,2019-10-31,443
QB,19,10,31,4,431,191031,2019-10-31,443
QB,19,10,31,1,96,191031,2019-10-31,443
QB,19,10,31,12,2,191031,2019-10-31,443
QB,19,11,1,9,1849,191101,2019-11-01,444
QB,19,11,1,1,113,191101,2019-11-01,444
QB,19,11,1,2,44717,191101,2019-11-01,444
QB,19,11,1,13,9,191101,2019-11-01,444
QB,19,11,1,6,1004,191101,2019-11-01,444
QB,19,11,1,8,453,191101,2019-11-01,444
